user_id,operator_id,total_calls,active_days,total_rows,first_date,last_date,incoming_calls,incoming_missed_calls,incoming_wait_duration,missed_rate_in,avg_wait_in,outgoing_calls,outgoing_days,out_calls_per_day,outgoing_share,high_missed_in,high_wait_in,outbound_role,low_outbound,ineffective_inbound,ineffective,inefficiency_score
166377,880020,45,14,20,2019-08-04,2019-10-02,7.0,0.0,54.0,0.0,7.714285714285714,38.0,7.0,5.428571428571429,0.8444444444444444,False,False,True,False,False,False,0
166377,880022,197,42,70,2019-08-04,2019-11-27,8.0,0.0,112.0,0.0,14.0,189.0,36.0,5.25,0.9593908629441624,False,False,True,False,False,False,0
166377,880026,2232,77,182,2019-08-06,2019-11-27,24.0,0.0,143.0,0.0,5.958333333333333,2208.0,77.0,28.675324675324674,0.989247311827957,False,False,True,False,False,False,0
166377,880028,2560,78,202,2019-08-06,2019-11-27,63.0,0.0,343.0,0.0,5.444444444444445,2497.0,78.0,32.01282051282051,0.975390625,False,False,True,False,False,False,0
166377,881278,20,5,8,2019-08-05,2019-11-24,0.0,0.0,0.0,0.0,0.0,20.0,5.0,4.0,1.0,False,False,True,True,False,True,1
166392,891900,33,17,17,2019-08-28,2019-11-26,33.0,0.0,1240.0,0.0,37.57575757575758,0.0,0.0,0.0,0.0,False,True,False,False,False,False,1
166392,891906,67,29,29,2019-09-04,2019-11-27,67.0,0.0,1782.0,0.0,26.597014925373134,0.0,0.0,0.0,0.0,False,True,False,False,False,False,1
166399,886674,11,9,9,2019-08-14,2019-10-22,11.0,0.0,168.0,0.0,15.272727272727273,0.0,0.0,0.0,0.0,False,False,False,False,False,False,0
166405,882684,1274,61,154,2019-08-05,2019-10-28,613.0,4.0,9526.0,0.0065252854812398045,15.539967373572594,661.0,58.0,11.39655172413793,0.5188383045525903,False,False,True,False,False,False,0
166405,882686,3650,80,224,2019-08-14,2019-11-27,766.0,6.0,11271.0,0.007832898172323759,14.714099216710183,2884.0,77.0,37.45454545454545,0.7901369863013699,False,False,True,False,False,False,0
166405,882688,58,4,9,2019-10-01,2019-10-16,15.0,0.0,673.0,0.0,44.86666666666667,43.0,4.0,10.75,0.7413793103448276,False,True,True,False,False,False,1
166405,882690,1588,22,63,2019-10-07,2019-11-27,171.0,2.0,7102.0,0.011695906432748537,41.53216374269006,1417.0,21.0,67.47619047619048,0.8923173803526449,False,True,True,False,False,False,1
166405,902510,1964,53,121,2019-09-02,2019-11-27,122.0,2.0,4107.0,0.01639344262295082,33.66393442622951,1842.0,51.0,36.11764705882353,0.9378818737270875,False,True,True,False,False,False,1
166405,902532,1106,40,110,2019-09-02,2019-11-27,239.0,1.0,4070.0,0.0041841004184100415,17.02928870292887,867.0,38.0,22.81578947368421,0.7839059674502713,False,False,True,False,False,False,0
166405,939470,748,14,30,2019-10-16,2019-11-27,19.0,0.0,257.0,0.0,13.526315789473685,729.0,13.0,56.07692307692308,0.9745989304812834,False,False,True,False,False,False,0
166405,939474,748,24,62,2019-10-16,2019-11-27,187.0,0.0,2717.0,0.0,14.529411764705882,561.0,23.0,24.391304347826086,0.75,False,False,True,False,False,False,0
166405,939476,756,16,35,2019-10-28,2019-11-26,40.0,1.0,371.0,0.025,9.275,716.0,16.0,44.75,0.9470899470899471,True,False,True,False,False,False,1
166405,939478,124,18,43,2019-10-28,2019-11-26,19.0,1.0,537.0,0.05263157894736842,28.263157894736842,105.0,18.0,5.833333333333333,0.8467741935483871,True,True,True,False,True,True,2
166406,879896,930,50,117,2019-08-01,2019-11-24,58.0,0.0,574.0,0.0,9.89655172413793,872.0,49.0,17.79591836734694,0.9376344086021505,False,False,True,False,False,False,0
166406,879898,7313,84,227,2019-08-01,2019-11-27,104.0,0.0,1680.0,0.0,16.153846153846153,7209.0,82.0,87.91463414634147,0.9857787501709285,False,False,True,False,False,False,0
166406,880240,47,7,12,2019-08-01,2019-08-29,0.0,0.0,0.0,0.0,0.0,47.0,7.0,6.714285714285714,1.0,False,False,True,False,False,False,0
166407,888532,200,54,85,2019-08-19,2019-11-27,12.0,2.0,289.0,0.16666666666666666,24.083333333333332,188.0,51.0,3.6862745098039214,0.94,True,True,True,True,True,True,3
166407,888534,376,53,134,2019-08-13,2019-11-27,61.0,2.0,1756.0,0.03278688524590164,28.78688524590164,315.0,50.0,6.3,0.8377659574468085,True,True,True,False,True,True,2
166407,888536,54,23,31,2019-09-09,2019-11-26,2.0,0.0,43.0,0.0,21.5,52.0,23.0,2.260869565217391,0.9629629629629629,False,False,True,True,False,True,1
